reference,value,description,footprint
J1,5 V INPUT,"Keyed 2-pin supply connector, >=3 A; pin 1 positive",
F1,2 A fast fuse,"Replaceable 2 A fuse, rated >=32 VDC",
SW1,POWER switch,SPST maintained switch >=3 A DC,
JP1,RUN link,Remove this jumper AND switch external power OFF before USB connection,
C1,1000 uF / 10 V (+ at 1),"Low ESR electrolytic, positive terminal pin 1, near servo connector",
C2,10 uF / 10 V,MCU input bulk capacitor,
J2,PROBE,Board harness: 1=3V3 2=GND 3=analog; verify sensor cable mapping,
R1,10k 1%,ADC divider top resistor,
R2,20k 1%,"ADC divider bottom resistor, disconnect pulls ADC low",
C3,100 nF,ADC low pass capacitor at GPIO34,
C4,100 nF,Probe supply decoupling at connector,
U2,SN74AHCT1G125DBVR,"TI SOT-23-5 buffer, TTL input; assemble on SOT23-5 breakout",Package_TO_SOT_SMD:SOT-23-5
R3,100k,PWM pulldown keeps buffer input low during reset,
R4,220R,Series output damping resistor,
J3,SERVO,"Servo: 1 black ground, 2 red supply, 3 yellow signal; verify actual unit",
C5,100 nF,U2 bypass within 5 mm of pins 5/3,
U1,ESP32-DevKitC V4,Complete purchased Espressif development board; pin numbers refer to its J2/J3 headers,
R5,680R,"LED series resistor, approx 1–2 mA",
D1,GREEN,"Off-board 5 mm panel LED, anode=2 cathode=1",
R6,680R,"LED series resistor, approx 1–2 mA",
D2,AMBER,"Off-board 5 mm panel LED, anode=2 cathode=1",
R7,680R,"LED series resistor, approx 1–2 mA",
D3,RED,"Off-board 5 mm panel LED, anode=2 cathode=1",
J4,NC STOP LOOP,Connect an external normally closed maintained STOP switch between pins 1 and 2,
R8,1k,Input current limiting; loop open reads high,
R9,10k,External STOP pullup,
C6,100 nF,STOP input noise filtering,
